Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787011.049102,192.168.246.93,192.168.246.147,53,60938,64,17,DF,241,0.0,1,0,241,0,241,241,120.5,0
1711787011.060697,192.168.246.93,192.168.246.147,53,64644,64,17,DF,241,0.0,1,0,241,0,241,241,120.5,0
1711787011.061048,192.168.246.147,204.79.197.203,53521,443,128,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.061126,192.168.246.147,20.42.65.88,53498,443,128,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.061216,192.168.246.147,204.79.197.219,53489,443,128,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.061251,192.168.246.147,204.79.197.219,53491,443,128,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.061685,192.168.246.147,13.107.6.158,53532,443,128,6,DF,66,0.0,1,0,66,0,66,66,33.0,0
1711787011.083519,204.79.197.203,192.168.246.147,443,53521,120,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.0836,204.79.197.203,192.168.246.147,443,53521,120,6,DF,54,8.106231689453125e-05,2,0,108,0,54,54,36.0,0.3333333333333333
1711787011.083648,204.79.197.219,192.168.246.147,443,53489,118,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.083671,204.79.197.219,192.168.246.147,443,53489,118,6,DF,54,2.3126602172851562e-05,2,0,108,0,54,54,36.0,0.3333333333333333
1711787011.083744,13.107.6.158,192.168.246.147,443,53532,114,6,DF,66,0.0,1,0,66,0,66,66,33.0,0
1711787011.08382,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.022135019302368164,2,0,120,0,66,54,40.0,0.25925925925925924
1711787011.084112,192.168.246.147,13.107.6.158,53532,443,128,6,DF,957,0.022426843643188477,3,0,1077,0,957,54,269.25,0.7186520376175548
1711787011.091573,204.79.197.219,192.168.246.147,443,53491,120,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.119592,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.03584790229797363,2,0,120,0,66,54,40.0,0.25925925925925924
1711787011.124597,13.107.6.158,192.168.246.147,443,53532,115,6,DF,1434,0.040853023529052734,3,0,1554,0,1434,54,388.5,0.7290794979079498
1711787011.124697,13.107.6.158,192.168.246.147,443,53532,115,6,DF,1434,0.04095292091369629,4,0,2988,0,1434,54,597.6,0.5832635983263598
1711787011.124724,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.06303882598876953,4,0,1131,0,957,54,226.2,3.1888888888888887
1711787011.126601,13.107.6.158,192.168.246.147,443,53532,115,6,DF,1434,0.04285693168640137,5,0,4422,0,1434,54,737.0,0.4860529986052999
1711787011.126689,13.107.6.158,192.168.246.147,443,53532,115,6,DF,1434,0.042944908142089844,6,0,5856,0,1434,54,836.5714285714286,0.4166168559473999
1711787011.126722,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.06503701210021973,5,0,1185,0,957,54,197.5,2.6574074074074074
1711787011.126747,13.107.6.158,192.168.246.147,443,53532,115,6,DF,434,0.04300284385681152,7,0,6290,0,1434,54,786.25,0.8116359447004609
1711787011.129425,192.168.246.147,13.107.6.158,53532,443,128,6,DF,212,0.06773996353149414,6,0,1397,0,957,54,199.57142857142858,0.05862533692722366
1711787011.129613,192.168.246.147,13.107.6.158,53532,443,128,6,DF,153,0.06792783737182617,7,0,1550,0,957,54,193.75,0.26633986928104575
1711787011.129735,192.168.246.147,13.107.6.158,53532,443,128,6,DF,440,0.06804990768432617,8,0,1990,0,957,54,221.11111111111111,0.49747474747474746
1711787011.129769,192.168.246.147,13.107.6.158,53532,443,128,6,DF,121,0.0680840015411377,9,0,2111,0,957,54,211.1,0.7446280991735537
1711787011.150573,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.06682896614074707,8,0,6344,0,1434,54,704.8888888888889,12.053497942386832
1711787011.151572,13.107.6.158,192.168.246.147,443,53532,115,6,DF,396,0.06782793998718262,9,0,6740,0,1434,54,674.0,0.702020202020202
1711787011.151617,13.107.6.158,192.168.246.147,443,53532,115,6,DF,123,0.06787300109863281,10,0,6863,0,1434,54,623.9090909090909,4.072431633407243
1711787011.151633,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.08994793891906738,10,0,2165,0,957,54,196.8181818181818,2.644781144781145
1711787011.151819,192.168.246.147,13.107.6.158,53532,443,128,6,DF,92,0.0901339054107666,11,0,2257,0,957,54,188.08333333333334,1.0443840579710146
1711787011.152533,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.06878900527954102,11,0,6917,0,1434,54,576.4166666666666,9.674382716049381
1711787011.156542,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,0.07279801368713379,12,0,7009,0,1434,54,539.1538461538462,4.860367892976589
1711787011.173483,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.08973884582519531,13,0,7063,0,1434,54,504.5,8.342592592592593
1711787011.200036,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.1383509635925293,12,0,2311,0,957,54,177.76923076923077,2.292022792022792
1711787011.252567,13.107.6.158,192.168.246.147,443,53532,115,6,DF,549,0.1688230037689209,14,0,7612,0,1434,54,507.46666666666664,0.07565270188221013
1711787011.252712,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,0.16896796226501465,15,0,7704,0,1434,54,481.5,4.233695652173913
1711787011.252751,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,0.19106602668762207,13,0,2365,0,957,54,168.92857142857142,2.128306878306878
1711787011.308601,20.42.65.88,192.168.246.147,443,53498,105,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787011.319918,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,0.25823283195495605,14,0,2534,0,957,54,168.93333333333334,0.00039447731755421823
1711787011.319985,192.168.246.147,13.107.6.158,53532,443,128,6,DF,124,0.2582998275756836,15,0,2658,0,957,54,166.125,0.3397177419354839
1711787011.324784,192.168.246.147,192.168.246.93,55745,53,128,17,,83,0.0,1,0,83,0,83,83,41.5,0
1711787011.324953,192.168.246.147,192.168.246.93,50887,53,128,17,,83,0.0,1,0,83,0,83,83,41.5,0
1711787011.325099,192.168.246.147,192.168.246.93,50849,53,128,17,,83,0.0,1,0,83,0,83,83,41.5,0
1711787011.347532,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,0.26378798484802246,16,0,7758,0,1434,54,456.3529411764706,7.450980392156863
